Name,State,Country,Location
Aspen Hill,Maryland,US,"39.07955 , -77.07303"
North Bethesda,Maryland,US,"39.04455 , -77.11887"
Bowie,Maryland,US,"38.94278 , -76.73028"
Chillum,Maryland,US,"38.96372 , -76.99081"
Clinton,Maryland,US,"38.76511 , -76.89831"
College Park,Maryland,US,"38.98067 , -76.93692"
Cumberland,Maryland,US,"39.65287 , -78.76252"
Fairland,Maryland,US,"39.07622 , -76.95775"
Fort Washington,Maryland,US,"38.70734 , -77.02303"
Frederick,Maryland,US,"39.41427 , -77.41054"
Gaithersburg,Maryland,US,"39.14344 , -77.20137"
Germantown,Maryland,US,"39.17316 , -77.27165"
Greenbelt,Maryland,US,"39.00455 , -76.87553"
Hagerstown,Maryland,US,"39.64176 , -77.71999"
Landover,Maryland,US,"38.934 , -76.89664"
Montgomery Village,Maryland,US,"39.17677 , -77.19526"
North Bethesda,Maryland,US,"39.04455 , -77.11887"
South Laurel,Maryland,US,"39.06983 , -76.85025"
North Potomac,Maryland,US,"39.08289 , -77.26498"
Olney,Maryland,US,"39.15316 , -77.06692"
Potomac,Maryland,US,"39.01817 , -77.20859"
Rockville,Maryland,US,"39.084 , -77.15276"
Silver Spring,Maryland,US,"38.99067 , -77.02609"
South Laurel,Maryland,US,"39.06983 , -76.85025"
Saint Charles,Maryland,US,"38.60317 , -76.93858"
Suitland,Maryland,US,"38.84872 , -76.92386"
Waldorf,Maryland,US,"38.62456 , -76.93914"
White Oak,Maryland,US,"39.03983 , -76.99303"
Dover,Delaware,US,"39.15817 , -75.52437"
Newark,Delaware,US,"39.68372 , -75.74966"
Wilmington,Delaware,US,"39.74595 , -75.54659"
Arvada,Colorado,US,"39.80276 , -105.08748"
Aurora,Colorado,US,"39.72943 , -104.83192"
Boulder,Colorado,US,"40.01499 , -105.27055"
Brighton,Colorado,US,"39.98526 , -104.82053"
Broomfield,Colorado,US,"39.92054 , -105.08665"
Castle Rock,Colorado,US,"39.37221 , -104.85609"
Castlewood,Colorado,US,"39.58471 , -104.90109"
Columbine,Colorado,US,"39.58777 , -105.06943"
Commerce City,Colorado,US,"39.80832 , -104.93387"
Denver,Colorado,US,"39.73915 , -104.9847"
Englewood,Colorado,US,"39.64777 , -104.98776"
Highlands Ranch,Colorado,US,"39.55388 , -104.96943"
Ken Caryl,Colorado,US,"39.57582 , -105.11221"
Lafayette,Colorado,US,"39.9936 , -105.08971"
Lakewood,Colorado,US,"39.70471 , -105.08137"
Littleton,Colorado,US,"39.61332 , -105.01665"
Longmont,Colorado,US,"40.16721 , -105.10193"
Loveland,Colorado,US,"40.39776 , -105.07498"
Northglenn,Colorado,US,"39.88554 , -104.9872"
Parker,Colorado,US,"39.5186 , -104.76136"
Southglenn,Colorado,US,"39.58721 , -104.95276"
Thornton,Colorado,US,"39.86804 , -104.97192"
Westminster,Colorado,US,"39.83665 , -105.0372"
Wheat Ridge,Colorado,US,"39.7661 , -105.07721"
South Charleston,West Virginia,US,"38.36843 , -81.69957"
Huntington,West Virginia,US,"38.41925 , -82.44515"
Morgantown,West Virginia,US,"39.62953 , -79.9559"
Parkersburg,West Virginia,US,"39.26674 , -81.56151"
Weirton,West Virginia,US,"40.41896 , -80.58952"
Wheeling,West Virginia,US,"40.06396 , -80.72091"
Aventura,Florida,US,"25.95648 , -80.13921"
Carol City,Florida,US,"25.94065 , -80.2456"
Coral Gables,Florida,US,"25.72149 , -80.26838"
Coral Terrace,Florida,US,"25.74593 , -80.3045"
Country Club,Florida,US,"25.94815 , -80.317"
Cutler Ridge,Florida,US,"25.58066 , -80.34672"
Doral,Florida,US,"25.81954 , -80.35533"
Golden Glades,Florida,US,"25.91176 , -80.20033"
Hialeah,Florida,US,"25.8576 , -80.27811"
Homestead,Florida,US,"25.46872 , -80.47756"
Kendale Lakes,Florida,US,"25.70816 , -80.407"
Kendall West,Florida,US,"25.7065 , -80.4388"
Key West,Florida,US,"24.55524 , -81.78163"
Leisure City,Florida,US,"25.49539 , -80.42922"
West Miami,Florida,US,"25.76343 , -80.29616"
North Miami Beach,Florida,US,"25.93315 , -80.16255"
Miami Lakes,Florida,US,"25.90871 , -80.30866"
Miramar,Florida,US,"25.98731 , -80.23227"
Norland,Florida,US,"25.94898 , -80.21227"
North Miami,Florida,US,"25.89009 , -80.18671"
North Miami Beach,Florida,US,"25.93315 , -80.16255"
Richmond West,Florida,US,"25.6105 , -80.42971"
Richmond Heights,Florida,US,"25.63149 , -80.36894"
South Miami Heights,Florida,US,"25.59761 , -80.38061"
Tamiami,Florida,US,"25.75871 , -80.39839"
West Little River,Florida,US,"25.85704 , -80.23699"
Westchester,Florida,US,"25.75482 , -80.32727"
Casper,Wyoming,US,"42.86663 , -106.31308"
Cheyenne,Wyoming,US,"41.13998 , -104.82025"
Gillette,Wyoming,US,"44.29109 , -105.50222"
Laramie,Wyoming,US,"41.31137 , -105.5911"
Grand Island,Nebraska,US,"40.92501 , -98.34201"
Kearney,Nebraska,US,"40.69946 , -99.08148"
North Platte,Nebraska,US,"41.12389 , -100.76542"
Bloomington,Illinois,US,"40.4842 , -88.99369"
East Moline,Illinois,US,"41.50087 , -90.4443"
East Peoria,Illinois,US,"40.66615 , -89.5801"
Galesburg,Illinois,US,"40.94782 , -90.37124"
Moline,Illinois,US,"41.5067 , -90.51513"
Normal,Illinois,US,"40.5142 , -88.99063"
Pekin,Illinois,US,"40.56754 , -89.64066"
Peoria,Illinois,US,"40.69365 , -89.58899"
Rock Island,Illinois,US,"41.50948 , -90.57875"
Beverly Hills,California,US,"34.07362 , -118.40036"
West Carson,California,US,"33.82168 , -118.29257"
Culver City,California,US,"34.02112 , -118.39647"
Gardena,California,US,"33.88835 , -118.30896"
Hawthorne,California,US,"33.9164 , -118.35257"
Inglewood,California,US,"33.96168 , -118.35313"
Lawndale,California,US,"33.88724 , -118.35257"
Lennox,California,US,"33.93807 , -118.35258"
Lomita,California,US,"33.79224 , -118.31507"
Lynwood,California,US,"33.93029 , -118.21146"
Manhattan Beach,California,US,"33.88474 , -118.41091"
Rancho Palos Verdes,California,US,"33.74446 , -118.38702"
Redondo Beach,California,US,"33.84918 , -118.38841"
Santa Monica,California,US,"34.01945 , -118.49119"
Torrance,California,US,"33.83585 , -118.34063"
West Carson,California,US,"33.82168 , -118.29257"
West Chicago,Illinois,US,"41.88475 , -88.20396"
Allen Park,Michigan,US,"42.25754 , -83.21104"
Dearborn,Michigan,US,"42.32226 , -83.17631"
Dearborn Heights,Michigan,US,"42.33698 , -83.27326"
Detroit,Michigan,US,"42.33143 , -83.04575"
Hamtramck,Michigan,US,"42.39282 , -83.04964"
Inkster,Michigan,US,"42.2942 , -83.30993"
Lincoln Park,Michigan,US,"42.25059 , -83.17854"
Redford,Michigan,US,"42.38337 , -83.2966"
Taylor,Michigan,US,"42.24087 , -83.26965"
Kirkwood,Missouri,US,"38.58339 , -90.40678"
Maryland Heights,Missouri,US,"38.71311 , -90.42984"
Mehlville,Missouri,US,"38.50839 , -90.32289"
Oakville,Missouri,US,"38.47005 , -90.30456"
Spanish Lake,Missouri,US,"38.78783 , -90.21594"
St. Louis,Missouri,US,"38.62727 , -90.19789"
University City,Missouri,US,"38.65588 , -90.30928"
Webster Groves,Missouri,US,"38.59255 , -90.35734"
Affton,Missouri,US,"38.55061 , -90.33317"
Ferguson,Missouri,US,"38.74422 , -90.30539"
Florissant,Missouri,US,"38.78922 , -90.32261"
Hazelwood,Missouri,US,"38.77144 , -90.37095"
Auburn,New York,US,"42.93173 , -76.56605"
Rome,New York,US,"43.21285 , -75.45573"
Syracuse,New York,US,"43.04812 , -76.14742"
Utica,New York,US,"43.1009 , -75.23266"
Watertown,New York,US,"43.97478 , -75.91076"
Wichita,Kansas,US,"37.69224 , -97.33754"
Carmel,Indiana,US,"39.97837 , -86.11804"
Fishers,Indiana,US,"39.95559 , -86.01387"
Greenwood,Indiana,US,"39.61366 , -86.10665"
Indianapolis,Indiana,US,"39.76838 , -86.15804"
Lawrence,Indiana,US,"39.83865 , -86.02526"
Noblesville,Indiana,US,"40.04559 , -86.0086"
Alexandria,Louisiana,US,"31.31129 , -92.44514"
Bossier City,Louisiana,US,"32.51599 , -93.73212"
West Monroe,Louisiana,US,"32.51848 , -92.14764"
Ruston,Louisiana,US,"32.52321 , -92.63793"
Shreveport,Louisiana,US,"32.52515 , -93.75018"
Burlington,Iowa,US,"40.80754 , -91.11292"
Cedar Falls,Iowa,US,"42.52776 , -92.44547"
Cedar Rapids,Iowa,US,"42.00833 , -91.64407"
Iowa City,Iowa,US,"41.66113 , -91.53017"
Marion,Iowa,US,"42.03417 , -91.59768"
Waterloo,Iowa,US,"42.49276 , -92.34296"
Saint Cloud,Minnesota,US,"45.5608 , -94.16249"
Altamonte Springs,Florida,US,"28.66111 , -81.36562"
